,households,name,latitude,longitude,geometry,GEOID
470010201001,863,MS - Set to Impress,36.0006904,-84.2626851,POINT (-84.2626851 36.0006904),4700190952
470010201002,756,MG - Front Porches,35.9931686,-84.2912234,POINT (-84.29122340000001 35.9931686),4700190952
470010202011,1250,AE - Exurbanites,36.0053253,-84.1964948,POINT (-84.1964948 36.0053253),4700191332
470010202012,499,SS - Golden Years,36.0215989,-84.2175189,POINT (-84.2175189 36.0215989),4700191332
470010202021,574,AE - Exurbanites,36.0358349,-84.2058695,POINT (-84.20586950000001 36.0358349),4700191332
470010202022,680,SS - Retirement Communities,36.0263376,-84.2283045,POINT (-84.22830449999999 36.0263376),4700191332
470010202023,674,HT - Small Town Simplicity,36.009853,-84.2450101,POINT (-84.2450101 36.009853),4700191332
470010203001,544,GX - Rustbelt Traditions,36.0436596,-84.2225704,POINT (-84.2225704 36.0436596),4700191142
470010203002,441,GX - Midlife Constants,36.0481865,-84.2267625,POINT (-84.22676250000001 36.0481865),4700191142
470010203003,644,GX - Rustbelt Traditions,36.035823,-84.2322942,POINT (-84.2322942 36.035823),4700191142
470010204001,511,GX - Midlife Constants,36.0393838,-84.2521487,POINT (-84.25214870000001 36.0393838),4700191142
470010204002,701,HT - Small Town Simplicity,36.0238071,-84.2595673,POINT (-84.2595673 36.0238071),4700191142
470010204003,794,HT - Small Town Simplicity,36.0235801,-84.2512921,POINT (-84.2512921 36.0235801),4700191142
470010205001,553,MG - Old and Newcomers,36.0099463,-84.28094,POINT (-84.28094 36.0099463),4700190952
470010205002,380,MG - Hardscrabble Road,36.0189938,-84.2743968,POINT (-84.27439680000001 36.0189938),4700190952
470010205003,590,HT - Traditional Living,36.0156606,-84.2911159,POINT (-84.29111589999999 36.0156606),4700190952
470010206001,584,AE - Exurbanites,36.0007288,-84.3137848,POINT (-84.31378479999999 36.0007288),4700190952
470010206002,424,GX - Midlife Constants,36.0058986,-84.3003178,POINT (-84.3003178 36.0058986),4700190952
470010207001,380,RO - Rural Bypasses,36.1671557,-84.3138607,POINT (-84.31386070000001 36.1671557),4700190572
470010207002,292,RO - Rural Bypasses,36.1581686,-84.2030527,POINT (-84.2030527 36.1581686),4700190572
470010208001,724,RO - Rural Bypasses,36.2216857,-84.1261797,POINT (-84.12617969999999 36.2216857),4700190572
470010208002,482,HT - Small Town Simplicity,36.213327,-84.149201,POINT (-84.14920100000001 36.213327),4700190572
470010208003,740,RO - Rural Bypasses,36.1890457,-84.1415526,POINT (-84.1415526 36.1890457),4700190572
470010209011,618,GX - Midlife Constants,36.1980282,-84.0716154,POINT (-84.0716154 36.1980282),4700190382
470010209012,867,CCL - Salt of the Earth,36.2386677,-84.0366192,POINT (-84.0366192 36.2386677),4700190382
470010209013,996,RO - Rooted Rural,36.185565,-84.0011964,POINT (-84.0011964 36.185565),4700190382
470010209021,530,RO - Southern Satellites,36.184687,-84.0858614,POINT (-84.0858614 36.184687),4700190382
470010209022,996,CCL - Salt of the Earth,36.1584736,-84.1040855,POINT (-84.1040855 36.1584736),4700190382
470010209023,377,CCL - The Great Outdoors,36.1391253,-84.0695382,POINT (-84.0695382 36.1391253),4700190002
470010209024,498,RO - Southern Satellites,36.115908,-84.0550936,POINT (-84.05509360000001 36.115908),4700190002
470010210001,637,RO - Rural Bypasses,36.0937493,-84.2931932,POINT (-84.2931932 36.0937493),4700190762
470010210002,511,RO - Southern Satellites,36.0677779,-84.2516078,POINT (-84.2516078 36.0677779),4700190762
470010210003,755,RO - Southern Satellites,36.0356939,-84.3018135,POINT (-84.30181349999999 36.0356939),4700190762
470010210004,543,GX - Midlife Constants,36.020075,-84.3176327,POINT (-84.3176327 36.020075),4700190762
470010211001,622,CCL - The Great Outdoors,36.0770372,-84.2042038,POINT (-84.2042038 36.0770372),4700190762
470010211002,490,CCL - Salt of the Earth,36.0911765,-84.167998,POINT (-84.167998 36.0911765),4700190762
470010211003,612,SS - Silver & Gold,36.074682,-84.1766773,POINT (-84.17667729999999 36.074682),4700190762
470010212011,425,CCL - Salt of the Earth,36.1174988,-84.1346474,POINT (-84.13464740000001 36.1174988),4700190192
470010212012,422,CCL - Heartland Communities,36.1084409,-84.1522042,POINT (-84.1522042 36.1084409),4700190762
470010212013,635,CCL - Salt of the Earth,36.138387,-84.1452538,POINT (-84.14525380000001 36.138387),4700190572
470010212014,391,RO - Southern Satellites,36.1427684,-84.1797775,POINT (-84.1797775 36.1427684),4700190572
470010212021,386,GX - Midlife Constants,36.101275,-84.1113961,POINT (-84.11139609999999 36.101275),4700190192
470010212022,691,MS - Set to Impress,36.1185919,-84.1229617,POINT (-84.1229617 36.1185919),4700190192
470010212023,757,HT - Small Town Simplicity,36.105304,-84.1320646,POINT (-84.13206460000001 36.105304),4700190192
470010212024,733,GX - Midlife Constants,36.0896776,-84.142008,POINT (-84.142008 36.0896776),4700190192
470010213011,399,CCL - Salt of the Earth,36.052432,-84.169838,POINT (-84.169838 36.052432),4700190002
470010213012,972,CCL - Salt of the Earth,36.0800114,-84.1272938,POINT (-84.1272938 36.0800114),4700190192
470010213021,493,GX - Comfortable Empty Nesters,36.0362767,-84.1534559,POINT (-84.1534559 36.0362767),4700190002
470010213022,683,CCL - Salt of the Earth,36.0580939,-84.1094055,POINT (-84.10940549999999 36.0580939),4700190002
470010213023,701,RO - Rural Bypasses,36.0159688,-84.1117129,POINT (-84.1117129 36.0159688),4700190002
470010213024,731,RO - Southern Satellites,36.0161495,-84.1401695,POINT (-84.1401695 36.0161495),4700190002
470010213025,296,RO - Southern Satellites,36.0415576,-84.0851098,POINT (-84.0851098 36.0415576),4700190002
470019801001,0,,35.9625044,-84.2588507,POINT (-84.2588507 35.9625044),4700190952
470039501001,559,CCL - Green Acres,35.6088272,-86.3060224,POINT (-86.3060224 35.6088272),4700390004
470039501002,860,CCL - Salt of the Earth,35.5969532,-86.4241056,POINT (-86.4241056 35.5969532),4700390194
470039502001,1142,RO - Southern Satellites,35.6517506,-86.557551,POINT (-86.557551 35.6517506),4700390384
470039502002,1032,RO - Southern Satellites,35.5772399,-86.538903,POINT (-86.538903 35.5772399),4700390194
470039502003,480,RO - Southern Satellites,35.5915725,-86.616558,POINT (-86.616558 35.5915725),4700390384
470039503001,886,RO - Southern Satellites,35.5008868,-86.598445,POINT (-86.598445 35.5008868),4700390574
470039503002,547,RO - Rooted Rural,35.4117138,-86.5719635,POINT (-86.5719635 35.4117138),4700390574
470039504011,749,CCL - Salt of the Earth,35.4436381,-86.4819129,POINT (-86.4819129 35.4436381),4700390574
470039504012,552,CCL - Heartland Communities,35.4666851,-86.4587,POINT (-86.45869999999999 35.4666851),4700390954
470039504013,768,EE - Barrios Urbanos,35.4760248,-86.4825218,POINT (-86.4825218 35.4760248),4700390574
470039504021,1012,RO - Southern Satellites,35.5299402,-86.4991503,POINT (-86.4991503 35.5299402),4700390194
470039504022,670,MG - Hardscrabble Road,35.4890208,-86.4877728,POINT (-86.4877728 35.4890208),4700391524
470039504023,1004,RO - Down the Road,35.509496,-86.4694184,POINT (-86.4694184 35.509496),4700390194
470039505001,575,RO - Down the Road,35.499914,-86.41992,POINT (-86.41992 35.499914),4700391144
470039505002,802,RO - Southern Satellites,35.5110073,-86.4325377,POINT (-86.4325377 35.5110073),4700391144
470039505003,601,CCL - Heartland Communities,35.5355868,-86.4401749,POINT (-86.4401749 35.5355868),4700390194
470039505004,368,HT - Traditional Living,35.4894288,-86.4534458,POINT (-86.4534458 35.4894288),4700391144
470039506001,558,MG - Hardscrabble Road,35.4752049,-86.4533459,POINT (-86.4533459 35.4752049),4700390954
470039506002,626,MG - Hardscrabble Road,35.4806741,-86.4440577,POINT (-86.4440577 35.4806741),4700390954
470039506003,695,MG - Hardscrabble Road,35.4804476,-86.4272585,POINT (-86.42725849999999 35.4804476),4700390954
470039506004,964,RO - Southern Satellites,35.4681685,-86.408868,POINT (-86.408868 35.4681685),4700390764
470039507001,540,RO - Rooted Rural,35.5184711,-86.2876795,POINT (-86.2876795 35.5184711),4700390004
470039507002,587,CCL - Salt of the Earth,35.5181248,-86.3657577,POINT (-86.3657577 35.5181248),4700390004
470039508001,644,CCL - Salt of the Earth,35.3838526,-86.4287855,POINT (-86.4287855 35.3838526),4700390764
470039508002,545,CCL - Salt of the Earth,35.4286011,-86.3186568,POINT (-86.3186568 35.4286011),4700390764
470059630001,749,SS - Senior Escapes,36.3010463,-88.0344627,POINT (-88.03446270000001 36.3010463),4700590956
470059630002,763,RO - Rooted Rural,36.1853777,-88.0183905,POINT (-88.0183905 36.1853777),4700590956
470059631001,476,RO - Rooted Rural,36.0954209,-88.0227499,POINT (-88.02274989999999 36.0954209),4700590576
470059631002,451,RO - Rooted Rural,36.1320075,-88.1312557,POINT (-88.1312557 36.1320075),4700590196
470059631003,344,CCL - Rural Resort Dwellers,36.0522942,-88.0204767,POINT (-88.0204767 36.0522942),4700590576
470059632001,398,RO - Rooted Rural,35.8996259,-88.1560803,POINT (-88.1560803 35.8996259),4700590006
470059632002,444,SS - Senior Escapes,35.8957961,-88.0185798,POINT (-88.0185798 35.8957961),4700590006
470059633001,332,HT - Small Town Simplicity,36.0586162,-88.1137849,POINT (-88.1137849 36.0586162),4700590766
470059633002,590,HT - Small Town Simplicity,36.0751051,-88.1138973,POINT (-88.1138973 36.0751051),4700590766
470059633003,680,HT - Small Town Simplicity,36.0729885,-88.0913122,POINT (-88.0913122 36.0729885),4700590576
470059634001,525,RO - Rural Bypasses,36.0430279,-88.1789019,POINT (-88.1789019 36.0430279),4700590196
470059634002,516,RO - Rooted Rural,36.0031505,-88.1245073,POINT (-88.1245073 36.0031505),4700590386
470059634003,643,RO - Rooted Rural,36.008845,-88.0611377,POINT (-88.0611377 36.008845),4700590386
470079530001,881,RO - Rooted Rural,35.6579248,-85.0450185,POINT (-85.0450185 35.6579248),4700790198
470079530002,710,RO - Rooted Rural,35.4584498,-85.2003416,POINT (-85.2003416 35.4584498),4700790388
470079531001,571,RO - Rooted Rural,35.6766574,-85.1022132,POINT (-85.10221319999999 35.6766574),4700790198
470079531002,415,HT - Small Town Simplicity,35.6307407,-85.1849007,POINT (-85.1849007 35.6307407),4700790198
470079531003,489,HT - Small Town Simplicity,35.5914495,-85.2231115,POINT (-85.2231115 35.5914495),4700790958
470079531004,668,RO - Rooted Rural,35.5014237,-85.2626393,POINT (-85.2626393 35.5014237),4700790958
470079532001,628,RO - Rural Bypasses,35.7195404,-85.1882794,POINT (-85.1882794 35.7195404),4700790768
470079532002,677,RO - Rural Bypasses,35.5809333,-85.323581,POINT (-85.323581 35.5809333),4700790008
470090101001,551,MG - Hardscrabble Road,35.7844902,-83.9639813,POINT (-83.9639813 35.7844902),4700990010
470090101002,569,HT - Traditional Living,35.7739986,-83.9773812,POINT (-83.9773812 35.7739986),4700990010
470090102001,343,HT - Small Town Simplicity,35.8134891,-83.9701472,POINT (-83.9701472 35.8134891),4700990200
470090102002,848,GX - Rustbelt Traditions,35.7987354,-83.9750723,POINT (-83.97507229999999 35.7987354),4700990200
470090102003,754,GX - Comfortable Empty Nesters,35.7850614,-83.9937129,POINT (-83.99371290000001 35.7850614),4700990200
470090102004,866,CCL - The Great Outdoors,35.7789666,-84.0139407,POINT (-84.01394070000001 35.7789666),4700990200
470090103011,923,CCL - The Great Outdoors,35.8653054,-83.9954721,POINT (-83.9954721 35.8653054),4700991720
470090103012,596,GX - Midlife Constants,35.8465979,-83.9705135,POINT (-83.9705135 35.8465979),4700991720
470090103013,1081,MS - Young and Restless,35.8526108,-83.9549958,POINT (-83.95499580000001 35.8526108),4700991720
470090103021,400,GX - Midlife Constants,35.8367527,-84.0309285,POINT (-84.0309285 35.8367527),4700991720
470090103022,499,GX - Midlife Constants,35.829189,-84.0081263,POINT (-84.0081263 35.829189),4700991720
470090103023,516,MG - Old and Newcomers,35.8219396,-83.9926525,POINT (-83.99265250000001 35.8219396),4700990200
470090104001,752,CCL - Salt of the Earth,35.8378318,-83.9152659,POINT (-83.91526589999999 35.8378318),4700991530
470090104002,587,CCL - Heartland Communities,35.8132059,-83.950703,POINT (-83.950703 35.8132059),4700991530
470090105001,767,SS - Social Security Set ,35.7577809,-83.9789808,POINT (-83.9789808 35.7577809),4700990010
470090105002,546,GX - Rustbelt Traditions,35.7491738,-83.9886535,POINT (-83.9886535 35.7491738),4700990010
470090106001,485,SS - Social Security Set ,35.7506991,-83.9630022,POINT (-83.96300220000001 35.7506991),4700990770
470090106002,652,GX - Midlife Constants,35.7403865,-83.9793825,POINT (-83.9793825 35.7403865),4700990770
470090106003,379,HT - Traditional Living,35.7466563,-83.9786494,POINT (-83.97864939999999 35.7466563),4700990770
470090107001,532,FL - Middleburg,35.7716076,-83.9484212,POINT (-83.9484212 35.7716076),4700990390
